Claim ID,Adjuster ID,Adjuster Name,Team/Department,Adjuster Experience Level
CLM001,ADJ001,Alice Smith,Auto Claims,Senior
CLM002,ADJ002,Bob Johnson,Property Claims,Junior
CLM003,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM004,ADJ001,Alice Smith,Auto Claims,Senior
CLM005,ADJ002,Bob Johnson,Property Claims,Junior
CLM006,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0007,ADJ001,Alice Smith,Auto Claims,Senior
CLM0008,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0009,ADJ001,Alice Smith,Auto Claims,Senior
CLM0010,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0011,ADJ001,Alice Smith,Auto Claims,Senior
CLM0012,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0013,ADJ001,Alice Smith,Auto Claims,Senior
CLM0014,ADJ002,Bob Johnson,Property Claims,Junior
CLM0015,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0016,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0017,ADJ001,Alice Smith,Auto Claims,Senior
CLM0018,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0019,ADJ001,Alice Smith,Auto Claims,Senior
CLM0020,ADJ001,Alice Smith,Auto Claims,Senior
CLM0021,ADJ001,Alice Smith,Auto Claims,Senior
CLM0022,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0023,ADJ001,Alice Smith,Auto Claims,Senior
CLM0024,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0025,ADJ001,Alice Smith,Auto Claims,Senior
CLM0026,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0027,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0028,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0029,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0030,ADJ001,Alice Smith,Auto Claims,Senior
CLM0031,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0032,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0033,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0034,ADJ001,Alice Smith,Auto Claims,Senior
CLM0035,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0036,ADJ002,Bob Johnson,Property Claims,Junior
CLM0037,ADJ002,Bob Johnson,Property Claims,Junior
CLM0038,ADJ002,Bob Johnson,Property Claims,Junior
CLM0039,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0040,ADJ001,Alice Smith,Auto Claims,Senior
CLM0041,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0042,ADJ002,Bob Johnson,Property Claims,Junior
CLM0043,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0044,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0045,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0046,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0047,ADJ002,Bob Johnson,Property Claims,Junior
CLM0048,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0049,ADJ001,Alice Smith,Auto Claims,Senior
CLM0050,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0051,ADJ001,Alice Smith,Auto Claims,Senior
CLM0052,ADJ002,Bob Johnson,Property Claims,Junior
CLM0053,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0054,ADJ001,Alice Smith,Auto Claims,Senior
CLM0055,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0056,ADJ002,Bob Johnson,Property Claims,Junior
CLM0057,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0058,ADJ002,Bob Johnson,Property Claims,Junior
CLM0059,ADJ001,Alice Smith,Auto Claims,Senior
CLM0060,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0061,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0062,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0063,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0064,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0065,ADJ002,Bob Johnson,Property Claims,Junior
CLM0066,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0067,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0068,ADJ002,Bob Johnson,Property Claims,Junior
CLM0069,ADJ002,Bob Johnson,Property Claims,Junior
CLM0070,ADJ002,Bob Johnson,Property Claims,Junior
CLM0071,ADJ002,Bob Johnson,Property Claims,Junior
CLM0072,ADJ002,Bob Johnson,Property Claims,Junior
CLM0073,ADJ002,Bob Johnson,Property Claims,Junior
CLM0074,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0075,ADJ002,Bob Johnson,Property Claims,Junior
CLM0076,ADJ001,Alice Smith,Auto Claims,Senior
CLM0077,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0078,ADJ001,Alice Smith,Auto Claims,Senior
CLM0079,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0080,ADJ001,Alice Smith,Auto Claims,Senior
CLM0081,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0082,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0083,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0084,ADJ001,Alice Smith,Auto Claims,Senior
CLM0085,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0086,ADJ002,Bob Johnson,Property Claims,Junior
CLM0087,ADJ001,Alice Smith,Auto Claims,Senior
CLM0088,ADJ002,Bob Johnson,Property Claims,Junior
CLM0089,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0090,ADJ001,Alice Smith,Auto Claims,Senior
CLM0091,ADJ002,Bob Johnson,Property Claims,Junior
CLM0092,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0093,ADJ001,Alice Smith,Auto Claims,Senior
CLM0094,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0095,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0096,ADJ001,Alice Smith,Auto Claims,Senior
CLM0097,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0098,ADJ002,Bob Johnson,Property Claims,Junior
CLM0099,ADJ002,Bob Johnson,Property Claims,Junior
CLM0100,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0101,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0102,ADJ001,Alice Smith,Auto Claims,Senior
CLM0103,ADJ002,Bob Johnson,Property Claims,Junior
CLM0104,ADJ002,Bob Johnson,Property Claims,Junior
CLM0105,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0106,ADJ001,Alice Smith,Auto Claims,Senior
CLM0107,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0108,ADJ001,Alice Smith,Auto Claims,Senior
CLM0109,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0110,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0111,ADJ001,Alice Smith,Auto Claims,Senior
CLM0112,ADJ001,Alice Smith,Auto Claims,Senior
CLM0113,ADJ002,Bob Johnson,Property Claims,Junior
CLM0114,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0115,ADJ003,Charlie Brown,Health Claims,Intermediate
CLM0116,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0117,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0118,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0119,ADJ002,Bob Johnson,Property Claims,Junior
CLM0120,ADJ001,Alice Smith,Auto Claims,Senior
CLM0121,ADJ003,Charlie Brown,Workers' Comp,Intermediate
CLM0122,ADJ003,Charlie Brown,Workers' Comp,Intermediate
